IdEvent,Posesion,IdGame,IdTeam,IdFrame,DtGame,IdBallPossession,IdSeason,IdCompetition,IdPeriod,IdEventLocal,IdEventType,NaEventType,IdTeamOwning,TeamName,RivalName,IsHomeTeam,IdHomeTeam,IdAwayTeam,NaHomeTeam,NaAwayTeam,IdPlayer,NaPlayer,NaPosition,Minute,Second,Outcome,x,y,VlOptaX,VlOptaY,end_x,end_y,next_IdTeam,New_Outcome,previous_event,head_info,clearance_info,clean_event,next_event,next_events,QtGoalsHome,QtGoalsAway,DsMatchStatus,IdTeamRival,formacion,formacion_rival,time_seconds,lag_team,mismo_equipo,cambio_de_posesion,Posesion_id,opponents_close_to_cone,opponents_close_to_player,player_distance_received_pass,id_receiving_player,pass_reception_frame,long_ball,cross,head_pass,through_ball,corner_taken,fast_break,own_goal,second_yellow,red_card,blocked,throw_in,goal_kick,chipped,lay_off,launch,assist,length,in_swinger,out_swing,straight,is_loss,is_rec,counterpress_5s_flag,save_id,Blocked_x_co-ordinate,Blocked_y_co-ordinate,Deflection,GK_X_Coordinate,GK_Y_Coordinate,Keeper_Saved,xg,xgot
2861502551,2572021_2_221_LaLiga2,2572021,188,1624840,2025-10-19T15:15:00.000Z,1624115-1626385,2025,23,2,836,1,Pass,188,Real Sociedad,Celta de Vigo,0,176,188,Celta de Vigo,Real Sociedad,437468,Sergio Gómez,Forward,88,32,1,76.7,95.0,23.299999999999997,5.0,66.1,70.6,188,1,Pass,null,Foot Clearance,Clean,Pass,Pass | Pass | Pass,1,0,home_winning,176,3421,343,5312,188,true,0,221,0,0,1.4481,475612,1624895,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20.0,null,null,null,false,false,0,2025_23_2572021_836,null,null,null,null,null,null,null,null
2849786169,2571541_1_102_LaLiga2,2571541,189,1916544,2025-09-21T20:00:00.000Z,1916167-1916635,2025,102,1,120,1,Pass,189,Racing de Santander,Córdoba,0,952,189,Córdoba,Racing de Santander,169070,Marco Sangalli,Forward,16,4,1,73.4,80.8,73.4,80.8,88.8,72.3,189,1,BallDrive,null,Foot Clearance,Clean,Pass,Pass | Attempt Saved | Save,0,0,draw,952,4231,4231,964,189,true,0,102,1,0,5.76841,444284,1916564,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17.2,null,null,null,false,false,0,2025_102_2571541_120,null,null,null,null,null,null,null,null
-562405199794427,2571548_2_42_LaLiga2,2571548,407,1997944,2025-09-27T20:00:00.000Z,1997377-1998960,2025,102,2,null,-27,BallDrive,407,Las Palmas,Almería,1,407,1564,Las Palmas,Almería,562405,Cristian Gutiérrez,Defender,50,17,1,null,null,null,null,65.97,40.84,407,1,Pass,null,Foot Clearance,Clean,Pass,Pass | Pass | Pass,0,1,away_winning,1564,442,4231,3017,407,true,0,42,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_102_2571548,null,null,null,null,null,null,null,null
2861507695,2572021_2_241_LaLiga2,2572021,188,1631980,2025-10-19T15:15:00.000Z,1631791-1633086,2025,23,2,886,1,Pass,188,Real Sociedad,Celta de Vigo,0,176,188,Celta de Vigo,Real Sociedad,475612,Arsen Zakharyan,Midfielder,93,17,1,71.7,8.5,28.299999999999997,91.5,64.9,32.8,188,1,Ball touch,null,Foot Clearance,Clean,Pass,Pass | Pass | Pass,1,1,draw,176,3421,343,5597,188,true,0,241,0,0,4.48699,216475,1632021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18.0,null,null,null,false,false,0,2025_23_2572021_886,null,null,null,null,null,null,null,null
2861263867,2571585_1_217_LaLiga2,2571585,957,1324315,2025-10-19T13:00:00.000Z,1323902-1324329,2025,102,1,308,15,Attempt Saved,957,Leganés,Málaga,1,957,182,Leganés,Málaga,438266,Seydouba Cissé,Midfielder,41,48,1,72.5,70.7,27.5,29.299999999999997,100,50.3,182,1,Pass,null,Foot Clearance,Clean,Save,Save | Pass | Pass,1,0,home_winning,182,442,4231,2508,957,true,0,217,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-1,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_102_2571585_308,null,null,null,null,null,null,null,null
-451281131304827,2571585_1_181_LaLiga2,2571585,957,1313048,2025-10-19T13:00:00.000Z,1312789-1314055,2025,102,1,null,-27,BallDrive,957,Leganés,Málaga,1,957,182,Leganés,Málaga,451281,Juan Cruz,Midfielder,34,17,1,null,null,null,null,85.96,18.32,957,1,Pass,null,Foot Clearance,Clean,Take On,Take On | Take On | Miss,1,0,home_winning,182,442,4231,2057,957,true,0,181,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_102_2571585,null,null,null,null,null,null,null,null
2861256207,2571585_1_181_LaLiga2,2571585,957,1313115,2025-10-19T13:00:00.000Z,1312789-1314055,2025,102,1,258,3,Take On,957,Leganés,Málaga,1,957,182,Leganés,Málaga,451281,Juan Cruz,Midfielder,34,19,1,78.4,27.2,21.599999999999994,72.8,null,null,182,1,BallDrive,null,Foot Clearance,Clean,Take On,Take On | Miss | Out,1,0,home_winning,182,442,4231,2059,957,true,0,181,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_102_2571585_258,null,null,null,null,null,null,null,null
2855675377,2571559_2_44_LaLiga2,2571559,180,1580915,2025-10-04T15:15:00.000Z,1579839-1582525,2025,102,2,515,1,Pass,180,Deportivo de La Coruña,Almería,1,180,1564,Deportivo de La Coruña,Almería,568583,Dani Barcia,Defender,55,17,1,45.5,63.7,45.5,63.7,53.2,95.0,180,1,Pass,null,Foot Clearance,Clean,Pass,Pass | Pass | Pass,0,1,away_winning,1564,442,4231,3317,180,true,0,44,0,0,1.40246,456504,1580946,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22.8,null,null,null,false,false,0,2025_102_2571559_515,null,null,null,null,null,null,null,null
2864093335,2571594_2_143_LaLiga2,2571594,5683,1808586,2025-10-25T17:30:00.000Z,1806482-1808651,2025,102,2,585,1,Pass,5683,Granada,Cádiz,1,5683,1737,Granada,Cádiz,244243,Sergio Ruiz,Midfielder,75,44,1,95.9,8.9,95.9,8.9,95.2,47.0,5683,1,Card,null,Foot Clearance,Clean,Aerial,Aerial | Save | Attempt Saved,0,0,draw,1737,433,4231,4544,1737,false,1,143,2,1,4.96541,658529,1808619,null,-1,null,null,null,null,null,null,null,null,null,null,-1,null,null,15,25.9,null,-1,null,false,false,0,2025_102_2571594_585,null,null,null,null,null,null,null,null
2870759073,2572057_2_7_LaLiga2,2572057,179,1557700,2025-11-08T15:15:00.000Z,1557397-1557711,2025,23,2,439,15,Attempt Saved,179,Sevilla,Osasuna,1,179,450,Sevilla,Osasuna,484640,Akor Adams,Forward,45,22,1,90.3,49.9,90.3,49.9,100,53.1,450,1,Save,null,Foot Clearance,Clean,Corner Awarded,Corner Awarded | Pass | Pass,0,0,draw,450,4231,4231,2722,450,false,1,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_23_2572057_439,97.5,50,0,96.69838,49.8966,0,0.5261496901512146,0.7119518518447876
2855674989,2571559_2_44_LaLiga2,2571559,180,1580646,2025-10-04T15:15:00.000Z,1579839-1582525,2025,102,2,512,1,Pass,180,Deportivo de La Coruña,Almería,1,180,1564,Deportivo de La Coruña,Almería,562005,Diego Villares,Midfielder,55,5,1,46.0,57.8,46.0,57.8,48.5,33.0,180,1,Pass,null,Foot Clearance,Clean,Pass,Pass | BallDrive | Pass,0,1,away_winning,1564,442,4231,3305,180,true,0,44,0,0,3.25189,429213,1580685,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17.1,null,null,null,false,false,0,2025_102_2571559_512,null,null,null,null,null,null,null,null
2861497005,2572021_2_189_LaLiga2,2572021,188,1616084,2025-10-19T15:15:00.000Z,1616075-1616086,2025,23,2,790,15,Attempt Saved,176,Real Sociedad,Celta de Vigo,0,176,188,Celta de Vigo,Real Sociedad,219000,Mikel Oyarzabal,Forward,82,41,1,88.1,57.3,11.900000000000006,42.7,100,51.4,188,1,Save,null,Foot Clearance,Clean,Corner Awarded,Corner Awarded | Pass | Aerial,1,0,home_winning,176,3421,343,4961,176,false,1,189,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_23_2572021_790,98.2,50.9,0,98.14394,50.01471,0,0.24372915923595428,0.06504633277654648
-192232136893427,2571572_2_31_LaLiga2,2571572,950,1368934,2025-10-12T13:00:00.000Z,1368930-1371242,2025,102,2,null,-27,BallDrive,950,Albacete,Ceuta,1,950,14705,Albacete,Ceuta,192232,Agus Medina,Midfielder,52,0,1,null,null,null,null,68.3,9.4,950,1,Blocked Pass,null,Foot Clearance,Clean,Pass,Pass | Take On | Pass,0,0,draw,14705,442,433,3120,14705,false,1,31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_102_2571572,null,null,null,null,null,null,null,null
